sum_vector,8388608,0.008055757
sum_vector,16777216,0.014355098
sum_vector,33554432,0.028707041
sum_vector,67108864,0.057620421
sum_vector,134217728,0.114811989
sum_vector,268435456,0.230404090
sum_vector,8388608,0.007178967
sum_vector,16777216,0.014353094
sum_vector,33554432,0.028757378
sum_vector,67108864,0.057452755
sum_vector,134217728,0.114798313
sum_vector,268435456,0.229799699
sum_vector,8388608,0.007188896
sum_vector,16777216,0.014424863
sum_vector,33554432,0.028749894
sum_vector,67108864,0.057613336
sum_vector,134217728,0.117340571
sum_vector,268435456,0.229813455
sum_vector,8388608,0.007192764
sum_vector,16777216,0.014456465
sum_vector,33554432,0.028785523
sum_vector,67108864,0.057404522
sum_vector,134217728,0.115024893
sum_vector,268435456,0.229878962
sum_vector,8388608,0.007242029
sum_vector,16777216,0.014388102
sum_vector,33554432,0.028754883
sum_vector,67108864,0.057485588
sum_vector,134217728,0.115075500
sum_vector,268435456,0.230585813
